target_variable,model,n_cities_used,n_test_cities,MedAE,sMdAPE_%
cash_ga,ARIMA,266,266,548964.64,12.08
una_ga,ARIMA,266,266,552320.6,15.84
una_ba,ARIMA,266,266,333577.68,17.18
cur_bal_gn,ARIMA,266,266,350669.64,10.52
cash_ga,MTL-LSTM (full),263,263,794549.5,14.37
cash_ga,STL-LSTM (full),263,263,771829.73,15.47
una_ga,MTL-LSTM (full),263,263,807782.25,28.86
una_ga,STL-LSTM (full),263,263,880676.98,32.5
una_ba,MTL-LSTM (full),263,263,522103.75,29.73
una_ba,STL-LSTM (full),263,263,453943.85,23.78
cur_bal_gn,MTL-LSTM (full),263,263,486088.0,16.2
cur_bal_gn,STL-LSTM (full),263,263,633971.71,20.4
cash_ga,MTL-LSTM (internal),266,266,916760.0,21.33
cash_ga,STL-LSTM (internal),266,266,843571.18,19.47
una_ga,MTL-LSTM (internal),266,266,807635.01,27.34
una_ga,STL-LSTM (internal),266,266,913564.05,27.9
una_ba,MTL-LSTM (internal),266,266,486753.94,24.04
una_ba,STL-LSTM (internal),266,266,475068.0,24.85
cur_bal_gn,MTL-LSTM (internal),266,266,707587.75,23.94
cur_bal_gn,STL-LSTM (internal),266,266,609098.73,19.27
