target_variable,model_A,model_B,mean_sMAPE_%_A,mean_sMAPE_%_B,mean_diff_A_minus_B,t_stat,p_value,significant_5%
tot_rev_gn,ARIMA,STL-LSTM,19.29080552495338,8.859726040858304,10.431079484095077,4.444321351260965,1.3100758107770995e-05,True
tot_rev_gn,ARIMA,MTL-LSTM,19.29080552495338,8.859729939562776,10.431075585390602,4.44431984652629,1.3100843246521683e-05,True
tot_rev_gn,STL-LSTM,MTL-LSTM,8.859726040858304,8.859729939562776,-3.8987044739957966e-06,-1.9847241706408778,0.04823434312390485,True
tot_exp_gn,ARIMA,STL-LSTM,25.238315266673368,16.608318778733217,8.629996487940153,3.9976697774386474,8.355689982066073e-05,True
tot_exp_gn,ARIMA,MTL-LSTM,25.238315266673368,16.608325941046083,8.629989325627283,3.997667048835819,8.355780626523964e-05,True
tot_exp_gn,STL-LSTM,MTL-LSTM,16.608318778733217,16.608325941046083,-7.162312866479896e-06,-1.3191186190988902,0.18829900261196542,False
cash_ga,ARIMA,STL-LSTM,35.803328215257295,18.274649103042968,17.52867911221433,5.911713078200243,1.0683727613723768e-08,True
cash_ga,ARIMA,MTL-LSTM,35.803328215257295,18.2596645029647,17.543663712292595,5.913186119076007,1.0599902717965651e-08,True
cash_ga,STL-LSTM,MTL-LSTM,18.274649103042968,18.2596645029647,0.014984600078269942,0.6102758175025844,0.5422162863871804,False
una_ga,ARIMA,STL-LSTM,52.57776410799551,35.66119068268858,16.91657342530694,5.452164577013788,1.1635642545705503e-07,True
una_ga,ARIMA,MTL-LSTM,52.57776410799551,35.66119688363478,16.916567224360726,5.452162334526028,1.1635774125697482e-07,True
una_ga,STL-LSTM,MTL-LSTM,35.66119068268858,35.66119688363478,-6.2009462109048784e-06,-1.1848612275059776,0.23716260014375154,False
una_ba,ARIMA,STL-LSTM,48.08635904139053,38.448900479668616,9.637458561721914,3.473710256782844,0.0006018523663549589,True
una_ba,ARIMA,MTL-LSTM,48.08635904139053,38.4488881555164,9.63747088587413,3.47371507351879,0.0006018420499390822,True
una_ba,STL-LSTM,MTL-LSTM,38.448900479668616,38.4488881555164,1.232415221600547e-05,0.6001436629162478,0.5489372535589677,False
nic,ARIMA,STL-LSTM,21.0004180777674,15.87783200949336,5.122586068274041,2.1306997410264694,0.034059783371499425,True
nic,ARIMA,MTL-LSTM,21.0004180777674,15.896286051967216,5.104132025800188,2.121088058621247,0.0348682634350035,True
nic,STL-LSTM,MTL-LSTM,15.87783200949336,15.896286051967216,-0.018454042473854022,-0.3322909277309103,0.7399393995312844,False
total_assets_GA,ARIMA,STL-LSTM,19.425895731228728,7.815404644628338,11.61049108660039,4.614874860006936,6.203792886937259e-06,True
total_assets_GA,ARIMA,MTL-LSTM,19.425895731228728,7.815404879577661,11.610490851651067,4.61487473270671,6.203796398531159e-06,True
total_assets_GA,STL-LSTM,MTL-LSTM,7.815404644628338,7.815404879577661,-2.3494932361432084e-07,-0.6249217006811362,0.5325747400671186,False
total_liabilities_GA,ARIMA,STL-LSTM,58.99251437122498,42.24932397404563,16.743190397179344,4.582038786369497,7.176168157783847e-06,True
total_liabilities_GA,ARIMA,MTL-LSTM,58.99251437122498,42.23073112746469,16.761783243760277,4.587389636889152,7.008285093311775e-06,True
total_liabilities_GA,STL-LSTM,MTL-LSTM,42.24932397404563,42.23073112746469,0.01859284658093633,1.1699261985282696,0.2431102779561086,False
tot_fnp,ARIMA,STL-LSTM,22.152043621027854,29.552860452903857,-7.400816831876002,-1.4256141379176819,0.15518848223207438,False
tot_fnp,ARIMA,MTL-LSTM,22.152043621027854,29.56486262158267,-7.412819000554818,-1.427998904262563,0.15450152436068645,False
tot_fnp,STL-LSTM,MTL-LSTM,29.552860452903857,29.56486262158267,-0.01200216867881767,-3.66287180707337,0.00030260405785629884,True
