target_variable,model,n_cities,MedAE,sMdAPE_%,win_rate_%
tot_rev_gn,ARIMA,67,765485.1074195616,6.412507885603446,35.82089552238806
tot_rev_gn,STL-LSTM (full),67,513590.5979113579,4.416306120767011,32.83582089552239
tot_rev_gn,MTL-LSTM (full),67,513589.9822224565,4.416306637073197,31.343283582089555
tot_exp_gn,ARIMA,67,1158233.4221253092,12.260380559714346,22.388059701492537
tot_exp_gn,STL-LSTM (full),67,832374.5947312713,8.795007593351361,58.2089552238806
tot_exp_gn,MTL-LSTM (full),67,832374.9720063731,8.795012599239094,19.402985074626866
cash_ga,ARIMA,67,1646588.401789803,17.403001567759997,20.8955223880597
cash_ga,STL-LSTM (full),67,1269665.7385253906,11.548176516040133,35.82089552238806
cash_ga,MTL-LSTM (full),67,1269157.7473560274,11.569854126812846,43.28358208955223
una_ga,ARIMA,67,2066626.2827745518,25.854124469005797,35.82089552238806
una_ga,STL-LSTM (full),67,1554824.6390830278,16.998596656660663,25.37313432835821
una_ga,MTL-LSTM (full),67,1554824.6802515388,16.998601083888538,38.80597014925373
una_ba,ARIMA,67,1220800.0,22.294621182666095,23.88059701492537
una_ba,STL-LSTM (full),67,822603.1370239258,18.103358236289264,44.776119402985074
una_ba,MTL-LSTM (full),67,823198.0904912576,18.11499896830137,31.343283582089555
nic,ARIMA,67,1536218.0632180572,7.12665868573969,37.3134328358209
nic,STL-LSTM (full),67,1097250.9216507673,6.981371925029174,38.80597014925373
nic,MTL-LSTM (full),67,1097251.0080175102,6.9813823391158145,23.88059701492537
total_assets_GA,ARIMA,67,2997292.1953492463,5.969582847966589,43.28358208955223
total_assets_GA,STL-LSTM (full),67,1781171.6521238387,4.288390428147788,40.298507462686565
total_assets_GA,MTL-LSTM (full),67,1781172.0476896986,4.288390557837303,16.417910447761194
total_liabilities_GA,ARIMA,67,2251189.7427346483,15.755390623716206,23.88059701492537
total_liabilities_GA,STL-LSTM (full),67,1109673.1678409427,8.620326939986116,56.71641791044776
total_liabilities_GA,MTL-LSTM (full),67,1109673.146514684,8.62032857198705,19.402985074626866
tot_fnp,ARIMA,67,3698117.0,3.361611313884817,32.83582089552239
tot_fnp,STL-LSTM (full),67,2988682.586730957,1.9231792647056525,44.776119402985074
tot_fnp,MTL-LSTM (full),67,2989066.743036628,1.923356735664306,22.388059701492537
