target_variable,model,n_cities,MedAE,sMdAPE_%,win_rate_%
tot_rev_gn,ARIMA,189,212860.0,8.223508551133826,26.455026455026452
tot_rev_gn,STL-LSTM (full),189,196099.5898785591,6.2705950772798555,32.27513227513227
tot_rev_gn,MTL-LSTM (full),189,196099.9734937176,6.270591208096149,41.269841269841265
tot_exp_gn,ARIMA,189,392349.24235476763,14.144103706397871,41.269841269841265
tot_exp_gn,STL-LSTM (full),189,350891.02075194195,12.05620934146133,34.39153439153439
tot_exp_gn,MTL-LSTM (full),189,350891.1459238231,12.056212510174781,24.33862433862434
cash_ga,ARIMA,189,617283.4289723597,15.187185884289086,24.867724867724867
cash_ga,STL-LSTM (full),189,432609.6494140625,12.003323424494297,44.97354497354497
cash_ga,MTL-LSTM (full),189,433308.9596249908,12.015371458714146,30.158730158730158
una_ga,ARIMA,189,585269.9604063485,24.721828896150388,34.39153439153439
una_ga,STL-LSTM (full),189,453006.54149493575,18.036320633302008,39.15343915343915
una_ga,MTL-LSTM (full),189,453007.1068312526,18.036321848095092,26.455026455026452
una_ba,ARIMA,189,351554.6667433453,20.805275999871068,26.984126984126984
una_ba,STL-LSTM (full),189,240564.06510674953,16.95424826139171,45.5026455026455
una_ba,MTL-LSTM (full),189,240565.88849377632,16.954435128032404,27.513227513227513
nic,ARIMA,189,345275.28478644195,8.358997570027789,28.04232804232804
nic,STL-LSTM (full),189,301263.9367675781,6.939565749400807,42.32804232804233
nic,MTL-LSTM (full),189,303374.8820143193,6.939842523482747,29.629629629629626
total_assets_GA,ARIMA,189,793646.0568435192,7.822315655964476,45.5026455026455
total_assets_GA,STL-LSTM (full),189,532704.8668800592,5.555835660550766,35.44973544973545
total_assets_GA,MTL-LSTM (full),189,532704.8926041275,5.555832582652209,19.047619047619047
total_liabilities_GA,ARIMA,189,364889.4936258835,32.34138007968396,40.21164021164021
total_liabilities_GA,STL-LSTM (full),189,200428.35812607408,19.30899310818435,21.693121693121693
total_liabilities_GA,MTL-LSTM (full),189,200428.24498729408,19.308984073945727,38.095238095238095
tot_fnp,ARIMA,189,786494.450828854,3.143107376378312,40.74074074074074
tot_fnp,STL-LSTM (full),189,401849.4518364072,2.9984854733938806,47.08994708994709
tot_fnp,MTL-LSTM (full),189,401850.0311665535,2.998487585051862,12.16931216931217
