target_variable,model,n_cities,MedAE,sMdAPE_%,win_rate_%
tot_rev_gn,ARIMA,183,192812.08521013125,8.828978245634667,47.540983606557376
tot_rev_gn,STL-LSTM (full),183,168250.22412109375,7.063414856273573,15.846994535519126
tot_rev_gn,MTL-LSTM (full),183,168116.59619140625,7.3224740187288155,36.6120218579235
tot_exp_gn,ARIMA,183,388469.0,17.24449378871995,28.96174863387978
tot_exp_gn,STL-LSTM (full),183,324179.29873657227,13.275844576722623,18.579234972677597
tot_exp_gn,MTL-LSTM (full),183,320793.47509765625,13.244691614176373,52.459016393442624
cash_ga,ARIMA,183,527451.0,15.18537298546131,39.34426229508197
cash_ga,STL-LSTM (full),183,409516.71044921875,12.334415207377713,21.311475409836063
cash_ga,MTL-LSTM (full),183,407577.48046875,12.08221082271151,39.34426229508197
una_ga,ARIMA,183,384898.81512879115,28.415729418433568,18.579234972677597
una_ga,STL-LSTM (full),183,265958.2697753906,17.384099493614592,45.3551912568306
una_ga,MTL-LSTM (full),183,264534.7726135254,17.394493089566453,36.0655737704918
una_ba,ARIMA,183,251299.2824860718,19.33001606290944,27.86885245901639
una_ba,STL-LSTM (full),183,208104.94873046875,16.324510724524895,23.497267759562842
una_ba,MTL-LSTM (full),183,208564.28369140625,16.873449722641627,48.63387978142077
nic,ARIMA,183,326553.006817352,7.8726460486730945,30.601092896174865
nic,STL-LSTM (full),183,216315.22497558594,6.883936399935665,18.0327868852459
nic,MTL-LSTM (full),183,212226.4228515625,6.8281969517191134,51.36612021857923
total_assets_GA,ARIMA,183,662948.9576243423,7.632951523689909,32.240437158469945
total_assets_GA,STL-LSTM (full),183,417231.71826171875,5.617952340836403,18.579234972677597
total_assets_GA,MTL-LSTM (full),183,416390.18896484375,5.689297592698959,49.18032786885246
total_liabilities_GA,ARIMA,183,228789.29924647813,44.30602281121657,37.704918032786885
total_liabilities_GA,STL-LSTM (full),183,137382.37009716034,22.222624917842175,38.25136612021858
total_liabilities_GA,MTL-LSTM (full),183,138497.61849975586,24.335797273644296,24.043715846994534
tot_fnp,ARIMA,183,571441.8141391128,2.9749898438769735,36.0655737704918
tot_fnp,STL-LSTM (full),183,315289.4755859375,2.89678354025395,16.39344262295082
tot_fnp,MTL-LSTM (full),183,314088.11083984375,2.8930602530065417,47.540983606557376
