target_variable,model,n_cities,MedAE,sMdAPE_%,win_rate_%
tot_rev_gn,ARIMA,76,1198862.4071497098,5.127456493731847,38.15789473684211
tot_rev_gn,STL-LSTM (full),76,822029.3057061434,3.9263453912157873,34.21052631578947
tot_rev_gn,MTL-LSTM (full),76,822029.3401860967,3.9263472836429574,27.631578947368425
tot_exp_gn,ARIMA,76,2107885.3602114934,8.557095991350351,39.473684210526315
tot_exp_gn,STL-LSTM (full),76,1839262.354639709,7.601623087072665,38.15789473684211
tot_exp_gn,MTL-LSTM (full),76,1839262.317990683,7.6016235680234,22.36842105263158
cash_ga,ARIMA,76,6311666.9859634545,15.88846952852842,28.947368421052634
cash_ga,STL-LSTM (full),76,2612684.7780552357,9.4542290291526,26.31578947368421
cash_ga,MTL-LSTM (full),76,2612685.1024965513,9.454233840831538,44.73684210526316
una_ga,ARIMA,76,5079466.5434813,22.60247958671539,35.526315789473685
una_ga,STL-LSTM (full),76,3548707.729383968,19.083862895588872,36.84210526315789
una_ga,MTL-LSTM (full),76,3548707.0936945677,19.083862968176472,27.631578947368425
una_ba,ARIMA,76,1799954.5,28.13972730685756,36.84210526315789
una_ba,STL-LSTM (full),76,1420605.9810342342,19.239050500985833,31.57894736842105
una_ba,MTL-LSTM (full),76,1420605.8579293638,19.23905043278022,31.57894736842105
nic,ARIMA,76,3050893.3846222907,8.1279567969302,48.68421052631579
nic,STL-LSTM (full),76,2640774.7604217827,7.458256339201825,34.21052631578947
nic,MTL-LSTM (full),76,2640775.061978005,7.458261676780401,17.105263157894736
total_assets_GA,ARIMA,76,9124962.41462341,6.606297706095107,47.368421052631575
total_assets_GA,STL-LSTM (full),76,4656276.695517272,4.92176001052053,30.263157894736842
total_assets_GA,MTL-LSTM (full),76,4656276.907905415,4.921760084359618,22.36842105263158
total_liabilities_GA,ARIMA,76,4189557.469141707,9.154294068228236,46.05263157894737
total_liabilities_GA,STL-LSTM (full),76,3587096.890231043,7.087862996849211,18.421052631578945
total_liabilities_GA,MTL-LSTM (full),76,3587096.453625448,7.087862872157164,35.526315789473685
tot_fnp,ARIMA,76,10343229.160781473,3.9436730508331594,39.473684210526315
tot_fnp,STL-LSTM (full),76,4616907.510611758,1.9264531500671498,17.105263157894736
tot_fnp,MTL-LSTM (full),76,4616907.247721881,1.926453095709918,43.42105263157895
