target_variable,model,group_A,group_B,n_A,n_B,mean_A,mean_B,mean_diff_A_minus_B,t_stat,p_value,significant_5%
tot_rev_gn,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,6205042.288873764,6656062.767300552,-451020.478426788,-0.1036760057020125,0.9175152758118437,False
tot_rev_gn,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,1531809.634917088,1656368.7972795581,-124559.16236247006,-0.1176756842549984,0.9064290123583563,False
tot_rev_gn,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,1531809.6307605268,1656368.8852753704,-124559.25451484369,-0.11767577087136862,0.9064289438020763,False
tot_exp_gn,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,3791888.3582432265,3520936.343640037,270952.01460318966,0.14134595224714114,0.8877118553677225,False
tot_exp_gn,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,2721480.1425465452,2655785.657012094,65694.48553445144,0.04296752315725861,0.9657629907074521,False
tot_exp_gn,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,2721480.2053419827,2655785.869271887,65694.33607009565,0.04296742530756567,0.9657630686268575,False
cash_ga,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,8830000.268760558,13619959.989235392,-4789959.720474834,-0.6651315225951121,0.5066003115517066,False
cash_ga,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,7621961.067034068,3704930.042584775,3917031.0244492926,0.6756510938405934,0.5000710689304757,False
cash_ga,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,7622012.034865817,3704889.520161286,3917122.514704531,0.6756673795817765,0.5000607500085411,False
una_ga,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,146654809.72518775,14199727.347566698,132455082.37762105,0.9329935483771973,0.3520177344996783,False
una_ga,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,13105080.434494112,6058566.31289014,7046514.121603971,0.6372753512954853,0.52464825822501,False
una_ga,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,13105080.587987307,6058566.297504845,7046514.290482462,0.6372753667578119,0.5246482481753094,False
una_ba,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,27742101.199596092,3054910.1648173765,24687191.034778714,1.141920296240829,0.2549365851851432,False
una_ba,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,2794127.4547461844,2380672.388675163,413455.06607102137,0.21028332966062485,0.8336367643764289,False
una_ba,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,2794127.8776742895,2380743.2357920134,413384.64188227616,0.21024735915800769,0.8336648029909175,False
nic,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,3043473.2432545833,6641455.859346541,-3597982.6160919573,-1.8005027889595555,0.07417506225392076,False
nic,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,1586111.8965355908,4460874.5841294695,-2874762.6875938787,-3.017212212463931,0.0034110968210497514,True
nic,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,1586674.9724146842,4460874.70836548,-2874199.735950796,-3.0165946947000326,0.0034173068225835505,True
total_assets_GA,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,10946797.04734905,31159033.623418983,-20212236.576069932,-1.1101475380016965,0.27018835516195483,False
total_assets_GA,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,8570688.448412897,6781242.413131824,1789446.0352810733,0.2969959354990707,0.7667570981903189,False
total_assets_GA,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,8570688.556308992,6781242.684080483,1789445.8722285088,0.29699590841313017,0.7667571188409126,False
total_liabilities_GA,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,11486710.719374275,84395777.433421,-72909066.71404673,-1.130405807546288,0.26231764995324197,False
total_liabilities_GA,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,4779611.425660879,10180049.838045798,-5400438.412384919,-1.2704582365357622,0.20587235142084484,False
total_liabilities_GA,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,4779611.374728546,10180049.814058924,-5400438.439330379,-1.2704582427060584,0.2058723492307047,False
tot_fnp,ARIMA,Mayor-council (MC),Council-manager (CM/CMS),189,67,15137537.146460326,306975271.37810093,-291837734.2316406,-1.2098779504296306,0.23063715564207884,False
tot_fnp,STL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,11343694.943537131,8595507.695362547,2748187.2481745835,0.3430000364057618,0.7319392815963288,False
tot_fnp,MTL-LSTM (full),Mayor-council (MC),Council-manager (CM/CMS),189,67,11343695.217651904,8595995.37843785,2747699.839214053,0.34293900481995765,0.7319851294320099,False
