target_variable,model,group_A,group_B,n_A,n_B,mean_A,mean_B,mean_diff_A_minus_B,t_stat,p_value,significant_5%
tot_rev_gn,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,20.336025061314533,18.856725280344374,1.479299780970159,0.24934897968066136,0.8035434062121883,False
tot_rev_gn,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,4.796688957763936,10.65388691467263,-5.857197956908693,-6.295095630581741,1.3515619555141002e-09,True
tot_rev_gn,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,4.796688498773344,10.643837242113005,-5.847148743339661,-6.308472001041965,1.2527055976444193e-09,True
tot_exp_gn,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,17.006290780264624,28.657079534252958,-11.650788753988333,-2.4255314179522367,0.016321757375207826,True
tot_exp_gn,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,10.60542774381327,19.021593186819835,-8.416165443006566,-4.250352676905764,3.1893331007358656e-05,True
tot_exp_gn,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,10.605429954083807,19.019346610116177,-8.41391665603237,-4.251751765672689,3.172206780732158e-05,True
cash_ga,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,42.791083609520626,32.90130958157417,9.889774027946459,1.281524714928555,0.20261641595804683,False
cash_ga,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,17.161428294472756,18.735548014401623,-1.5741197199288663,-0.5315931987660465,0.5959109214294434,False
cash_ga,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,17.161427966080232,18.757127525250137,-1.5956995591699048,-0.5382533759576064,0.5913149420781879,False
una_ga,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,54.162679696403615,51.91954779805554,2.243131898348075,0.25036732315947746,0.8027006238535423,False
una_ga,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,43.08264427792367,32.56254118565232,10.520103092271349,1.4098531853429568,0.1614364211651076,False
una_ga,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,43.08264506974307,32.58265753036274,10.499987539380335,1.4071512925819911,0.16223395445025635,False
una_ba,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,53.44305602012943,45.86171985896345,7.581336161165986,0.8841265349189878,0.3782101598741512,False
una_ba,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,45.05255860599499,35.58206275899496,9.47049584700003,1.1882534752634835,0.23705346902763783,False
una_ba,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,45.05255787253231,36.54633675982815,8.50622111270416,1.0604577520644354,0.2909972253027543,False
nic,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,23.130925952852248,20.11561699303271,3.0153089598195386,0.5064918878648477,0.6135073826421016,False
nic,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,14.837582163278928,16.302887259267617,-1.4653050959886897,-0.3722349345745512,0.7101879107312834,False
nic,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,14.837583658310635,16.36893760239613,-1.5313539440854953,-0.38993733007659875,0.697080777149022,False
total_assets_GA,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,15.185924433717043,21.186758128009533,-6.00083369429249,-1.1950090506713917,0.23354733581465167,False
total_assets_GA,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,7.256526923944171,8.015402658560774,-0.7588757346166028,-0.504937127759779,0.6140682794292764,False
total_assets_GA,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,7.256527141838618,8.015112532407368,-0.7585853905687499,-0.5049107531201905,0.6140869207287905,False
total_liabilities_GA,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,26.172484360016767,72.62269076932238,-46.45020640930561,-6.049450665351513,6.663465893576008e-09,True
total_liabilities_GA,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,13.724651947952578,53.94239153539711,-40.21773958744453,-7.163889960856924,8.32264640200323e-12,True
total_liabilities_GA,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,13.724649296666625,55.47403087443923,-41.7493815777726,-7.511174282186018,9.73368100644928e-13,True
tot_fnp,ARIMA,Home-rule (Y),Non-home-rule (N),76,183,26.28005668008347,20.43767754185722,5.842379138226249,0.7654299028765018,0.4454439081107766,False
tot_fnp,STL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,5.129805263293233,39.69226924332998,-34.562463980036746,-5.802693102249624,2.1654233076221452e-08,True
tot_fnp,MTL-LSTM (full),Home-rule (Y),Non-home-rule (N),76,183,5.129806773852577,39.66773540602319,-34.53792863217061,-5.800545821043162,2.189430049794988e-08,True
